Farm_ID,Soil_pH,Soil_Moisture,Temperature_C,Rainfall_mm,Crop_Type,Fertilizer_Usage_kg,Pesticide_Usage_kg,Crop_Yield_ton,Sustainability_Score
1,7.07,49.15,26.67,227.89,Wheat,131.69,2.96,1.5769199239944838,51.91
2,6.24,21.5,29.33,244.02,Soybean,136.37,19.2,3.824685657452959,47.16
3,5.92,19.47,17.67,141.11,Corn,99.73,11.04,1.1331976262416603,50.15
4,6.85,27.97,17.19,156.79,Wheat,194.83,8.81,8.870540370316064,89.76
5,6.93,33.64,23.6,77.86,Corn,57.27,3.75,8.779317423442908,51.03
6,6.13,15.94,30.45,296.62,Rice,96.48,3.27,2.0437081720414625,23.03
7,7.41,41.56,25.77,54.35,Soybean,159.21,13.67,6.177211062248057,88.87
8,7.02,35.17,22.72,292.36,Soybean,180.44,18.57,5.218131637064065,44.02
9,5.53,12.67,15.35,183.93,Wheat,191.53,3.24,7.801282070734073,80.16
10,6.27,13.36,23.03,199.65,Soybean,58.52,13.67,6.221388077188259,82.93
11,6.33,38.02,16.23,260.04,Corn,147.58,4.27,2.27026393857822,45.24
12,5.95,31.59,26.61,136.15,Corn,181.78,17.49,2.847876691130483,92.39
13,5.9,33.81,15.21,141.22,Rice,185.54,14.82,9.944867740520532,50.7
14,6.62,43.58,25.85,146.99,Corn,66.18,8.24,1.9650470520791967,6.44
15,6.48,28.46,20.16,81.3,Soybean,75.35,9.36,5.32037137376984,90.85
16,7.05,19.66,27.97,148.63,Soybean,112.58,1.86,2.39349137390423,69.96
17,5.97,42.71,26.58,66.21,Wheat,97.53,11.9,1.7048596644141183,91.99
18,6.58,11.5,24.92,245.89,Corn,152.54,15.05,8.579189655625214,70.47
19,6.07,47.4,21.11,96.67,Wheat,110.93,9.23,6.975590798933613,92.31
20,6.26,44.89,26.49,60.32,Wheat,119.83,18.89,8.24152685123876,90.51
21,5.62,14.92,26.63,173.94,Rice,153.48,1.42,7.067609960949175,82.11
22,6.45,21.07,31.99,99.72,Soybean,164.83,2.27,6.221686082628516,92.2
23,6.7,37.37,19.09,218.78,Rice,96.34,11.47,4.42407482921899,4.0
24,6.31,45.18,34.58,276.18,Rice,101.15,18.77,1.0437489915960905,14.2
25,6.91,33.81,28.11,139.22,Corn,83.84,2.43,6.875110175812429,50.64
26,6.21,43.24,30.25,220.63,Soybean,132.03,18.33,7.619672245469831,85.32
27,7.41,34.68,31.83,87.33,Corn,72.55,5.51,5.982668409961666,54.67
28,5.67,21.95,29.99,93.51,Soybean,122.44,4.6,5.103918461879776,26.18
29,6.12,24.07,27.72,188.43,Corn,185.12,16.71,5.608640581593386,5.66
30,6.03,17.42,26.85,91.51,Rice,149.72,14.85,9.772130233697206,38.14
31,6.98,25.18,20.19,82.08,Soybean,92.87,16.28,4.087899553375317,9.99
32,6.44,40.83,24.94,101.63,Corn,123.81,15.13,5.222258178377057,70.21
33,6.67,49.45,16.87,204.76,Corn,122.9,14.61,9.899291442182196,40.04
34,6.99,17.49,18.3,52.8,Soybean,182.52,16.39,3.3771435307403435,0.37
35,5.89,28.94,26.96,61.84,Wheat,146.83,13.9,2.173271759007589,91.4
36,6.19,40.63,16.63,242.35,Corn,170.29,17.33,2.954325987580382,63.17
37,6.63,18.55,27.17,101.04,Soybean,167.53,18.46,8.886114512587351,18.46
38,6.6,38.89,31.48,114.76,Soybean,143.35,4.74,9.438428269981284,10.34
39,6.76,34.92,32.76,112.75,Soybean,129.26,11.08,1.931973470785926,57.95
40,5.95,45.42,18.33,81.05,Wheat,102.72,15.82,2.6354495399199704,35.13
41,5.51,32.33,21.68,114.38,Soybean,131.17,4.25,8.745016762086479,39.94
42,6.47,43.39,19.12,239.58,Wheat,140.85,1.83,6.741602799296277,48.23
43,5.85,19.71,27.98,178.18,Corn,142.47,12.83,9.164376389422232,48.01
44,6.04,23.91,17.91,123.21,Rice,193.5,17.0,9.42722611669988,9.84
45,6.56,41.0,34.3,260.03,Rice,149.52,15.69,3.034914277130987,61.48
46,6.54,33.57,34.01,283.3,Wheat,156.37,9.82,4.883533555074348,90.84
47,6.23,49.32,29.78,100.25,Rice,168.0,10.82,1.5987615919613076,3.29
48,6.25,26.04,28.65,113.36,Soybean,142.24,19.81,4.284377418000696,49.36
49,6.45,10.29,32.12,114.46,Wheat,155.72,5.12,5.059445238907788,65.4
50,6.39,26.73,30.69,121.97,Rice,113.47,19.6,2.980505285450986,0.71
51,6.31,17.57,30.69,87.37,Corn,104.91,9.57,5.705556767101029,49.48
52,5.83,15.41,25.97,53.77,Wheat,65.61,18.57,1.99072770247822,33.54
53,7.42,41.22,20.03,247.42,Rice,143.69,3.18,7.728135299498718,29.97
54,6.46,36.6,16.91,167.45,Rice,143.26,16.52,9.41120766052502,10.45
55,6.57,21.81,22.76,142.61,Soybean,171.2,5.71,8.13224125828311,72.71
56,6.51,46.09,29.94,112.01,Corn,187.13,15.69,6.313354151449532,20.12
57,6.25,15.89,15.11,119.26,Wheat,129.95,12.57,5.649623290749395,36.54
58,6.14,24.29,27.78,203.99,Soybean,84.45,16.94,4.4093180108168,30.99
59,6.1,21.85,33.58,207.96,Wheat,183.05,6.64,5.752432212588814,11.18
60,6.88,42.82,30.92,167.97,Corn,111.42,11.33,5.739016650942668,0.37
61,7.43,11.26,33.18,110.03,Wheat,125.93,8.83,6.899186245681676,22.96
62,6.83,11.18,26.36,125.03,Corn,194.67,18.34,8.242753745300075,7.49
63,6.1,39.92,33.33,120.9,Soybean,168.64,11.88,2.1358884129539257,36.76
64,6.07,49.43,26.1,294.96,Rice,127.98,8.62,8.934624411472498,25.21
65,6.2,42.02,21.07,211.01,Soybean,113.14,10.47,9.551663218437293,4.87
66,6.11,43.94,29.24,204.66,Soybean,181.92,16.86,9.612049664751154,4.01
67,6.43,33.63,34.99,87.82,Soybean,150.85,17.76,1.9005743777881412,24.28
68,6.88,30.59,31.29,81.44,Soybean,175.5,3.83,2.199667611117805,53.84
69,6.36,49.89,34.52,184.44,Corn,105.6,14.71,3.1401490449352405,46.5
70,6.12,44.84,31.68,128.42,Rice,112.08,18.26,4.395739151728564,1.32
71,5.71,28.53,20.53,185.9,Rice,180.93,9.71,8.404725649638365,77.89
72,5.59,30.5,32.89,136.23,Rice,164.19,5.34,3.166620823376957,22.04
73,7.31,37.06,25.62,135.08,Wheat,117.59,10.93,5.361424321792696,38.26
74,6.64,43.49,34.73,177.5,Wheat,95.7,17.76,9.880885047645128,32.2
75,6.24,46.51,28.07,146.63,Wheat,165.75,18.13,3.131036089779621,76.98
76,5.85,22.86,32.07,234.12,Soybean,132.45,17.9,7.990790490729653,44.79
77,6.26,35.67,19.63,206.5,Rice,146.22,4.32,8.168747275149276,94.43
78,6.09,33.98,22.79,113.27,Rice,119.91,9.13,4.653353352400787,25.46
79,7.25,44.68,28.55,207.81,Soybean,145.73,9.73,2.5384940856540004,45.96
80,6.68,33.56,19.11,66.04,Corn,100.75,17.58,3.428574255551733,75.79
81,6.36,29.53,34.49,109.53,Soybean,173.78,17.46,4.815931839017493,61.94
82,6.84,34.17,20.9,219.37,Soybean,152.75,1.15,7.13118477301467,99.99
83,5.89,41.14,20.35,179.64,Wheat,171.21,14.08,4.628522392847771,8.18
84,5.93,27.43,25.9,93.71,Rice,188.3,11.75,7.742719020076168,46.01
85,6.43,20.91,17.16,187.53,Rice,63.02,8.84,1.8584001379126116,61.61
86,6.18,46.99,34.02,165.32,Rice,196.18,12.5,1.4389167427274852,83.96
87,6.14,12.86,23.66,187.26,Soybean,164.48,13.75,2.084908264094343,74.87
88,6.73,27.27,34.64,195.27,Soybean,168.0,10.69,5.668930758375248,86.57
89,6.92,24.06,33.92,227.57,Wheat,133.63,15.56,1.319866436998784,58.85
90,6.26,33.71,16.97,129.91,Wheat,60.18,1.39,2.5994800968342955,39.41
91,7.42,24.43,28.01,104.9,Rice,112.56,4.14,4.417002462061427,11.94
92,5.67,27.44,25.86,105.76,Rice,186.85,9.45,6.526252272937036,48.62
93,5.62,22.07,15.34,170.69,Wheat,160.94,3.46,4.371930064589092,29.09
94,7.04,29.46,30.13,54.13,Rice,187.14,5.04,1.278743440185635,38.71
95,6.91,41.51,32.13,141.33,Corn,112.78,6.8,5.918738644603996,51.33
96,6.26,39.23,26.2,195.99,Corn,115.72,9.25,8.08609956205752,70.96
97,7.19,38.63,33.02,209.91,Rice,130.37,15.74,3.8424911358204334,92.72
98,7.12,15.9,28.2,269.73,Soybean,94.93,14.03,5.215624111204291,77.31
99,5.71,29.17,20.69,211.32,Wheat,91.95,17.03,9.900061690858047,30.0
100,6.95,22.59,22.66,85.1,Wheat,98.61,8.32,8.790308203509738,25.23
101,6.28,18.5,32.36,294.57,Corn,92.82,10.47,3.9155242621372817,94.54
102,7.37,43.78,27.27,97.46,Wheat,196.75,3.32,3.4303585900792704,75.8
103,5.81,14.31,33.45,248.11,Rice,121.75,18.35,4.703710875539237,80.24
104,5.77,15.16,18.54,108.89,Soybean,173.6,5.28,1.5520791604505777,16.5
105,5.86,21.62,25.47,126.83,Corn,61.99,8.96,1.545458649169149,17.62
106,7.37,38.19,21.61,150.3,Corn,130.87,19.19,7.710351396089547,22.91
107,6.88,33.61,19.19,76.41,Soybean,176.54,10.12,1.7573134269106463,54.08
108,6.41,38.32,24.97,193.76,Soybean,165.54,4.04,2.000582078182972,10.89
109,6.79,35.47,25.58,58.21,Soybean,161.16,16.45,5.880165915190196,85.45
110,7.26,12.27,27.55,145.16,Rice,175.31,2.5,2.6655340937044416,56.57
111,7.22,24.81,17.32,190.34,Rice,192.7,15.38,9.640738508441896,11.16
112,6.73,11.74,26.04,130.22,Rice,83.93,7.43,7.45223081485644,96.61
113,5.95,12.55,24.17,231.72,Corn,164.52,8.27,9.213992065703426,86.72
114,5.53,14.92,30.27,50.27,Corn,145.74,15.61,5.1343811263939365,95.94
115,7.33,41.69,33.0,153.74,Wheat,169.71,19.01,5.94762015786089,59.98
116,5.89,47.35,26.29,291.18,Soybean,72.88,8.15,5.139070251201271,32.9
117,7.24,11.56,24.71,77.57,Wheat,82.77,7.71,7.228265211291491,13.25
118,6.64,38.79,25.81,71.24,Wheat,175.82,14.91,3.968681891189735,99.43
119,6.5,29.84,18.04,159.33,Rice,144.5,16.44,8.47073980066883,12.55
120,5.69,27.89,30.28,247.16,Corn,107.21,2.12,1.3371325547839938,97.85
121,6.82,43.72,30.74,163.93,Wheat,150.58,1.34,4.666121759451317,97.87
122,6.0,46.67,24.06,77.27,Corn,104.07,14.65,6.587336193601214,11.13
123,7.42,48.6,16.37,236.27,Rice,192.46,19.54,8.075830649149673,35.07
124,5.61,36.4,16.07,54.7,Rice,152.88,9.4,9.332628846823,20.86
125,6.24,20.72,29.1,178.28,Rice,197.76,4.28,9.429338569948207,91.34
126,7.3,34.09,31.22,200.14,Wheat,158.89,17.62,7.821888258723434,99.14
127,6.07,30.95,28.28,202.47,Soybean,107.9,12.26,3.660343323509648,96.79
128,5.65,30.73,25.38,270.17,Corn,195.59,3.86,6.295767223031005,32.6
129,7.48,19.32,22.5,157.73,Soybean,146.78,2.35,4.244315448361881,15.95
130,5.59,40.77,19.07,249.84,Rice,137.6,11.95,3.2848203934182365,30.28
131,7.25,29.14,24.01,79.43,Corn,80.68,15.63,8.281901018655233,57.39
132,7.16,40.76,29.65,51.63,Rice,78.29,19.88,9.779944781827089,14.5
133,7.09,28.08,30.31,195.85,Corn,57.27,3.06,2.033238423398527,57.03
134,5.52,28.61,31.14,263.06,Rice,159.37,18.72,6.694664256551585,43.24
135,5.87,30.39,31.9,254.96,Soybean,173.3,9.19,9.463208194458238,64.09
136,7.45,10.33,30.72,247.85,Rice,120.92,1.26,4.952923709081913,34.43
